vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip
50LD10138,3,4/27/2018 11:28,3.529,106.67012,10.769479,61.90809452,200,1,11.16025851,6.066585945,32
50LD10138,4,4/27/2018 11:29,5.6,106.67021,10.7695265,62.76966702,200,38,20.91329772,0.8615725,32
50LD10138,5,4/27/2018 11:29,10.746,106.67038,10.769613,69.9154316,200,7,15.13189123,7.145764584,32
50LD10138,6,4/27/2018 11:29,9.6,106.67051,10.76966,69.9154316,200,5,132.400235,7.274209399,32
50LD10138,0,4/27/2018 12:17,24.4,106.67185,10.7678385,271.6390227,200,2834,249.1640064,97.94406353,33
50LD10138,1,4/27/2018 12:18,21.48,106.66957,10.767903,277.4251409,200,42,164.1575425,5.786118142,33
50LD10138,2,4/27/2018 12:18,21.6,106.66808,10.768095,277.4251409,200,28,25.62569841,12.76649819,33
50LD10138,0,4/27/2018 12:18,6,106.66786,10.768175,259.682745,200,9,27.76389652,30.50889402,34
50LD10138,1,4/27/2018 12:18,11.2,106.66761,10.76813,242.0665775,200,9,25.50677702,17.61616757,34
50LD10138,2,4/27/2018 12:18,10,106.667404,10.768022,242.0665775,200,9,6.722671608,0.574292464,34
50LD10138,0,4/27/2018 23:02,4.8,106.670135,10.76936,242.9295079,200,11,310.1768992,4.179307533,35
50LD10138,1,4/27/2018 23:03,20.04,106.66761,10.768084,238.8198261,200,62,46.81314116,4.109681813,35
50LD10138,2,4/27/2018 23:04,16.886,106.667244,10.767865,251.8819088,200,10,3.91028877,13.06208266,35
50LD10138,3,4/27/2018 23:04,7.273,106.66721,10.767854,251.8819088,200,2,7.103898743,16.3357242,35
50LD10138,0,4/27/2018 23:04,8.4,106.667145,10.767852,238.8501867,200,39,326.692621,29.3674463,36
50LD10138,1,4/27/2018 23:05,20.52,106.66459,10.766325,230.9643303,200,59,16.35567647,7.88585638,36
50LD10138,2,4/27/2018 23:05,14.328,106.664474,10.766232,230.9643303,200,4,0,0,36
50LD10150,0,4/27/2018 0:39,8,106.670456,10.769491,60.38092799,200,0,129.6315587,0,37
50LD10150,1,4/27/2018 0:40,19,106.671486,10.77007,59.32666754,200,30,135.3631596,1.054260449,37
50LD10150,2,4/27/2018 0:40,4,106.67255,10.770694,59.32666754,200,30,12.35955262,2.933233012,37
50LD10150,0,4/27/2018 1:38,19,106.67265,10.770746,243.4908557,200,3442,53.78070956,181.2309551,38
50LD10150,1,4/27/2018 1:38,18,106.67221,10.770529,242.1134576,200,10,61.26327033,1.377398107,38
50LD10150,2,4/27/2018 1:38,16,106.671715,10.77027,232.1536783,200,10,43.68198512,9.959779282,38
50LD10150,3,4/27/2018 1:38,9,106.6714,10.770028,243.7318962,200,20,91.47878574,11.57821794,38
50LD10150,4,4/27/2018 1:39,22,106.67065,10.769662,246.1693762,200,20,58.57696983,2.437480004,38
50LD10150,5,4/27/2018 1:39,7,106.67016,10.769448,234.383209,200,10,16.16051987,11.78616722,38
50LD10150,6,4/27/2018 1:39,9,106.67004,10.769363,240.3973574,200,10,42.7840864,6.014148385,38
50LD10150,7,4/27/2018 1:39,14,106.6697,10.769172,243.561317,200,10,43.97540141,3.163959639,38
50LD10150,8,4/27/2018 1:39,17,106.66934,10.768995,241.6283287,200,10,62.16600687,1.932988382,38
50LD10150,9,4/27/2018 1:39,24,106.66884,10.768728,247.1225935,200,10,71.68281747,5.494264849,38
50LD10150,10,4/27/2018 1:40,24,106.668236,10.768476,239.4192117,200,10,118.3295559,7.703381789,38
50LD10150,11,4/27/2018 1:40,2,106.667305,10.767932,241.5874827,200,40,183.4620803,2.168270982,38
50LD10150,12,4/27/2018 1:41,21,106.66583,10.767143,239.0924747,200,50,110.9562945,2.495008038,38
50LD10150,13,4/27/2018 1:41,16,106.66496,10.766628,239.0924747,200,20,30.55162396,14.41551156,38
50LD10150,0,4/27/2018 2:42,18,106.664764,10.766432,64.83839391,200,3660,136.0565556,159.8385692,39
50LD10150,1,4/27/2018 2:43,23,106.66589,10.766955,63.06702275,200,20,104.2872889,1.771371168,39
50LD10150,2,4/27/2018 2:43,11,106.66674,10.767382,59.50766843,200,20,78.72926091,3.559354316,39
50LD10150,3,4/27/2018 2:44,20,106.66736,10.767743,62.37169691,200,50,56.30182324,2.864028475,39
50LD10150,4,4/27/2018 2:44,20,106.667816,10.767979,60.23834354,200,10,59.74158863,2.133353368,39
