vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip,ts
50LD10243,3,2018-04-27 02:08:47,7.2,106.67075,10.769753,75.1841422613846,100,6,7.347691960295833,18.33529986294065,28,1524794927
50LD10243,4,2018-04-27 02:08:51,5.373,106.670815,10.76977,73.88292703905073,100,4,19.908465359498763,1.301215222333866,28,1524794931
50LD10243,5,2018-04-27 02:08:57,8.4,106.67099,10.76982,49.55486937961205,100,6,20.15043780124296,24.328057659438677,28,1524794937
50LD10243,6,2018-04-27 02:09:03,12.0,106.67113,10.769938,49.55486937961205,100,6,21.09509777458078,12.279541068981814,28,1524794943
50LD10243,0,2018-04-27 04:30:45,15.6,106.66602,10.767172,58.149227266688825,100,3819,9.018451412730128,4.069333889528522,29,1524803445
50LD10243,1,2018-04-27 04:30:49,3.529,106.66609,10.767215,44.34572347448098,100,4,13.484835587393807,13.803503792207849,29,1524803449
50LD10243,2,2018-04-27 04:31:16,8.4,106.666176,10.767302,70.4761272758814,100,27,38.043356317489526,26.13040380140042,29,1524803476
50LD10243,3,2018-04-27 04:31:28,11.4,106.666504,10.767417,67.58277563886242,100,12,8.98921369100701,2.8933516370189807,29,1524803488
50LD10243,4,2018-04-27 04:31:31,10.8,106.66658,10.767448,67.58277563886242,100,3,19.890603451984067,13.791116804732042,29,1524803491
50LD10243,0,2018-04-27 04:34:31,22.8,106.67067,10.769738,57.203216251517325,100,83,45.56984244031974,3.330150713058572,30,1524803671
50LD10243,1,2018-04-27 04:34:43,13.8,106.67102,10.769961,58.06568790382997,100,12,44.359415493886544,0.8624716523126423,30,1524803683
50LD10243,2,2018-04-27 04:34:55,14.0,106.671364,10.770173,52.81912079634962,100,12,21.439371348842545,5.246567107480345,30,1524803695
50LD10243,3,2018-04-27 04:35:04,7.2,106.67152,10.77029,71.15358464370429,100,9,9.24024043124225,18.33446384735467,30,1524803704
50LD10243,4,2018-04-27 04:35:09,7.229,106.6716,10.770317,59.91928406152392,100,5,13.908922253136566,11.234300582180374,30,1524803709
50LD10243,5,2018-04-27 04:35:15,7.2,106.67171,10.77038,59.91928406152392,100,6,11.6373674961001,2.1009635029341496,30,1524803715
