y,x,ts,trip
10.767832,106.67191,1524814600,14946
10.767831,106.67135,1524814610,14946
10.767905,106.66734,1524814680,14947
10.767493,106.6666,1524814700,14947
10.770347,106.67193,1524841830,14949
10.77012,106.67146,1524841840,14949
10.769936,106.671104,1524841850,14949
10.768968,106.66927,1524841890,14950
10.768689,106.66876,1524841900,14950
10.767787,106.66708,1524841950,14951
10.767564,106.66667,1524841960,14951
10.767385,106.6664,1524841970,14951
10.767157,106.66597,1524841980,14951
10.767331,106.66501,1524842020,14951
10.767339,106.66455,1524842280,14952
10.767082,106.66469,1524842290,14952
10.766949,106.66484,1524842300,14952
10.767099,106.665085,1524842310,14952
10.767263,106.66611,1524842970,14954
10.767468,106.6665,1524842980,14954
10.767909,106.67016,1524843040,14956
10.767853,106.671104,1524843060,14956
10.770167,106.67167,1524831260,14957
10.7698,106.671,1524831290,14957
10.76783,106.67219,1524793280,14963
10.767824,106.67204,1524793290,14963
10.767897,106.67158,1524793310,14963
10.768555,106.6714,1524793330,14963
10.76822,106.67148,1524794040,14964
10.768031,106.671486,1524794090,14964
10.767835,106.67088,1524794110,14964
10.7679205,106.66972,1524794130,14964
10.771553,106.6655,1524810990,14966
10.770743,106.66582,1524811000,14966
10.769923,106.66613,1524811010,14966
10.769289,106.66638,1524811020,14966
10.768765,106.666626,1524811030,14966
10.767877,106.667046,1524811090,14966
10.767901,106.66897,1524811120,14967
10.767875,106.66954,1524811130,14967
10.769149,106.66978,1524847610,14968
10.768679,106.66894,1524847620,14968
10.766855,106.665474,1524801683,14973
10.766778,106.66534,1524801688,14973
10.766443,106.66461,1524801730,14973
10.767917,106.66938,1524815677,14975
10.767921,106.66927,1524815680,14975
10.768032,106.668274,1524815698,14975
10.76792,106.6674,1524815727,14975
10.767908,106.66726,1524815730,14975
10.767948,106.66713,1524815733,14975
10.768945,106.66662,1524815756,14975
10.772077,106.67045,1524816204,14977
10.771691,106.67065,1524816216,14977
10.770886,106.67112,1524816236,14977
10.769591,106.6707,1524840206,14981
10.770793,106.671074,1524840276,14981
10.76996,106.670616,1524842550,14983
10.769723,106.67076,1524842557,14983
10.76816,106.66808,1524820109,14986
10.768129,106.66771,1524820169,14986
10.768376,106.66686,1524820199,14986
